rank,won_mvp,player,season_start,age,pos,pos_number,tm,pts_won,pts_max,vote_share,all_star_votes,g,team_wins,overall_seed,preseason_odds_rank,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ws,ws_per_48,vorp,bpm,offensive_raptor,defensive_raptor
9,0,Fat Lever,1986,26,PG,1,DEN,11,780,0.014,283252,82,37,16,5,37.2,7.8,16.7,0.469,0.3,1.1,0.239,7.6,15.6,0.486,0.477,3,3.8,0.782,2.6,6.3,8.9,8,2.5,0.4,2,2.7,18.9,20.8,0.515,0.067,0.228,7,18.8,12.5,29.1,3,0.6,10,21.1,9.7,0.153,5.9,5.6,3.621442449,1.868912495
10,0,Moses Malone,1986,31,C,5,WSB,9,780,0.012,565491,73,42,12,7,34.1,8.2,18,0.454,0,0.2,0,8.2,17.8,0.458,0.454,7.8,9.5,0.824,4.7,6.6,11.3,1.6,0.8,1.3,2.8,1.9,24.1,23.8,0.545,0.008,0.528,14.2,21,17.6,7.9,1.1,2.1,11.1,29.3,9.4,0.182,2.5,1.9,1.443880075,0.531145651
1,1,Michael Jordan,1987,24,SG,2,CHI,665,800,0.831,1121285,82,50,8,15,40.4,13,24.4,0.535,0.1,0.6,0.132,13,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35,31.7,0.603,0.027,0.43,4.8,10.7,7.8,27,3.9,2.4,9.6,34.1,21.2,0.308,11.8,12.2,7.511207396,3.677305701
2,0,Larry Bird,1987,31,SF,3,BOS,527,800,0.659,747005,76,57,2,2,39,11.6,22,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6,0.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,27.8,0.608,0.142,0.271,4.6,22.3,14,25.7,2.1,1.1,10.2,30.2,15,0.243,8.1,8.8,6.629314291,1.766089138
3,0,Magic Johnson,1987,28,PG,1,LAL,508,800,0.635,1022122,72,62,1,1,36.6,6.8,13.8,0.492,0.2,0.8,0.196,6.7,13.1,0.51,0.497,5.8,6.8,0.853,1.2,5,6.2,11.9,1.6,0.2,3.7,2,19.6,23.1,0.581,0.056,0.491,4,14.8,9.7,45.4,2.1,0.3,18.2,23.4,10.9,0.199,4.9,5.3,6.425169737,-0.185863313
4,0,Charles Barkley,1987,24,PF,4,PHI,109,800,0.136,687785,80,36,17,9,39.6,9.4,16,0.587,0.6,2,0.28,8.9,14.1,0.63,0.604,8.9,11.9,0.751,4.8,7.1,11.9,3.2,1.3,1.3,3.8,3.5,28.3,27.6,0.665,0.122,0.741,14,20.8,17.4,14.1,1.6,1.9,15.2,26.7,16.7,0.253,8.7,9,6.868836963,0.254137442
5,0,Clyde Drexler,1987,25,SG,2,POR,86,800,0.108,430880,81,53,6,8,37.8,10.5,20.7,0.506,0.1,0.6,0.212,10.3,20.1,0.515,0.509,5.9,7.2,0.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27,24.1,0.564,0.031,0.35,9.2,9.6,9.4,23.5,3.1,1,10.9,28,13.2,0.207,7.3,7.4,5.315677166,1.705236721
6,0,Dominique Wilkins,1987,28,SF,3,ATL,55,800,0.069,694354,78,50,7,3,37.8,11.7,25.1,0.464,0.5,1.7,0.295,11.2,23.4,0.476,0.474,6.9,8.4,0.826,2.7,3.7,6.4,2.9,1.3,0.6,2.8,2.1,30.7,23.7,0.534,0.066,0.335,7.9,11,9.5,13.5,1.7,1,8.9,35.2,9.8,0.16,3.7,2.9,3.695766673,0.111857689
7,0,Hakeem Olajuwon,1987,25,C,5,HOU,40,800,0.05,831339,79,46,10,5.5,35.8,9,17.5,0.514,0,0.1,0,9,17.5,0.516,0.514,4.8,6.9,0.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8,23.4,0.555,0.003,0.396,11.2,24.1,17.7,9.2,2.7,4.2,13,26.5,10.7,0.182,5,5,0.697119625,5.07956987
8,0,Karl Malone,1987,24,PF,4,UTA,36,800,0.045,499963,82,47,9,11,39,10.5,20.1,0.52,0,0.1,0,10.5,20.1,0.522,0.52,6.7,9.6,0.7,3.4,8.6,12,2.4,1.4,0.6,4,3.6,27.7,20.7,0.568,0.003,0.478,9.7,22.8,16.6,10.1,1.7,0.9,14,29.7,10.1,0.152,3.7,2.5,-0.007824293,0.859334208
